"","c1_HuAgeGBsplitRnaseq_32....QNPbyTAP__"
"1","ANKRD42"
"2","AP2A2"
"3","APBB1"
"4","ARFIP2"
"5","ARNTL"
"6","B4GALNT4"
"7","BET1L"
"8","BTBD10"
"9","C11orf58"
"10","CARS"
"11","CAT"
"12","CD151"
"13","CD44"
"14","CD81"
"15","COPB1"
"16","CRY2"
"17","CTR9"
"18","DCHS1"
"19","DEAF1"
"20","DENND5A"
"21","DKK3"
"22","DUSP8"
"23","EHD4"
"24","EIF3F"
"25","FAM160A2"
"26","FAR1"
"27","GATD1"
"28","GTF2H1"
"29","HPS5"
"30","HRAS"
"31","ILK"
"32","IPO7"
"33","LMO1"
"34","LRP4"
"35","MAPK8IP1"
"36","MOB2"
"37","MRPL17"
"38","MRPL23"
"39","MT3"
"40","NAP1L4"
"41","NAV2"
"42","NUCB2"
"43","NUP98"
"44","OSBPL5"
"45","PDE3B"
"46","PEX16"
"47","PGAP2"
"48","PHRF1"
"49","PIK3C2A"
"50","PRMT3"
"51","PSMA1"
"52","PSMC3"
"53","PSMD13"
"54","PTDSS2"
"55","RASSF7"
"56","RIC8A"
"57","RNF141"
"58","RNH1"
"59","RPL27A"
"60","RRAS2"
"61","RRM1"
"62","RRP8"
"63","SBF2"
"64","SIRT3"
"65","SLC35C1"
"66","SMPD1"
"67","ST5"
"68","STC2"
"69","STIM1"
"70","SWAP70"
"71","TALDO1"
"72","TEAD1"
"73","TMEM220"
"74","TMEM41B"
"75","TMEM9B"
"76","TOLLIP"
"77","TPP1"
"78","TRIM3"
"79","TSG101"
"80","TSSC4"
"81","UEVLD"
"82","USP47"
"83","WEE1"
"84","ZDHHC13"
"85","ZNF143"
