"","c1_HuAgeGBsplitRnaseq_215....TAPbyQNP__"
"1","BRD1"
"2","CBX7"
"3","CBY1"
"4","CCDC134"
"5","CENPM"
"6","CHKB"
"7","CRELD2"
"8","CSNK1E"
"9","DDX17"
"10","DESI1"
"11","ELAVL3"
"12","GGA1"
"13","GRAMD4"
"14","GTPBP1"
"15","GTSE1"
"16","KCTD17"
"17","L3MBTL2"
"18","MAPK11"
"19","MGAT3"
"20","MIEF1"
"21","MPST"
"22","NCAPH2"
"23","NDUFA6"
"24","PACSIN2"
"25","PAIP2B"
"26","PER3"
"27","PHF21B"
"28","PHF5A"
"29","PICK1"
"30","PIM3"
"31","PKP4"
"32","PLA2G6"
"33","POLDIP3"
"34","POLR3H"
"35","PPARA"
"36","PPP6R2"
"37","RBX1"
"38","RPS19BP1"
"39","SAMM50"
"40","SELENOO"
"41","SHANK3"
"42","SMDT1"
"43","SREBF2"
"44","ST13"
"45","STMN4"
"46","TAB1"
"47","TCF20"
"48","TEF"
"49","TOMM22"
"50","TRABD"
"51","TTC38"
"52","UNC13A"
"53","XRCC6"
"54","ZBED4"
