"","c1_HuAgeGBsplitRnaseq_33....NSCbyNPC__"
"1","ADAM8"
"2","ADAP2"
"3","AIF1"
"4","ALDH3B1"
"5","ANGPTL6"
"6","ARHGDIB"
"7","ASAH1"
"8","B3GNT8"
"9","BIN2"
"10","BLNK"
"11","C1orf162"
"12","C1QA"
"13","C1QB"
"14","C1QC"
"15","C3"
"16","C3AR1"
"17","C5AR1"
"18","CCL18"
"19","CD14"
"20","CD163"
"21","CD180"
"22","CD209"
"23","CD28"
"24","CD4"
"25","CD72"
"26","CD74"
"27","CD93"
"28","CLEC7A"
"29","CORO1A"
"30","CREG1"
"31","CRYBB1"
"32","CSF1R"
"33","CTBS"
"34","CTSB"
"35","CTSC"
"36","CTSS"
"37","CTSZ"
"38","CX3CR1"
"39","CXCL16"
"40","CYTH4"
"41","DEF6"
"42","DENND1C"
"43","DENND2D"
"44","DOK2"
"45","EBI3"
"46","FCER1G"
"47","FCGRT"
"48","FCHO2"
"49","FERMT3"
"50","FGD2"
"51","FMNL1"
"52","FTL"
"53","FUCA1"
"54","GALM"
"55","GAPT"
"56","GPSM3"
"57","GRN"
"58","GSDMD"
"59","GYPC"
"60","HAVCR2"
"61","HCLS1"
"62","HLA-DMB"
"63","HLA-DQB1"
"64","HLA-DRA"
"65","HMOX1"
"66","HPCAL1"
"67","HPGDS"
"68","IL10RA"
"69","IRF5"
"70","ITGB2"
"71","KLHL33"
"72","LAIR1"
"73","LAPTM5"
"74","LGALS1"
"75","LGALS3"
"76","LGMN"
"77","LIPA"
"78","LRRC25"
"79","LST1"
"80","LTC4S"
"81","LY86"
"82","LYZ"
"83","MKNK1"
"84","MPEG1"
"85","MPP1"
"86","MRC1"
"87","MS4A4E"
"88","MS4A6A"
"89","MSR1"
"90","NCF4"
"91","NCKAP1L"
"92","NFAM1"
"93","PALD1"
"94","PARVB"
"95","PARVG"
"96","PLD4"
"97","PLIN2"
"98","PRKCD"
"99","PTPN6"
"100","PWP2"
"101","PYCARD"
"102","RAP2B"
"103","RGS19"
"104","RHBDF2"
"105","RNASE1"
"106","RNASE6"
"107","RPP25"
"108","RPS6KA1"
"109","SASH3"
"110","SDCBP"
"111","SELENOP"
"112","SIPA1"
"113","SLAMF9"
"114","SLC11A1"
"115","SLC15A3"
"116","SLC29A3"
"117","SLC40A1"
"118","SLC7A7"
"119","SLCO2B1"
"120","SPI1"
"121","SQOR"
"122","SRGN"
"123","STAB1"
"124","SUSD3"
"125","THBD"
"126","THEMIS2"
"127","TLR1"
"128","TLR2"
"129","TLR7"
"130","TMEM106A"
"131","TMEM173"
"132","TNFRSF14"
"133","TNFRSF1B"
"134","TREM2"
"135","TYROBP"
"136","UNC93B1"
"137","VAMP8"
"138","WAS"
