"","c1_HuAgeGBsplitRnaseq_58....PSVZbyQSVZ__"
"1","ANXA9"
"2","ARNT"
"3","ATF6"
"4","ATP8B2"
"5","BLZF1"
"6","C1orf43"
"7","CCT3"
"8","CDC42SE1"
"9","CENPL"
"10","CHTOP"
"11","CKS1B"
"12","CLK2"
"13","CREB3L4"
"14","CYB5R1"
"15","DAP3"
"16","DHX9"
"17","EFCAB2"
"18","ENSA"
"19","GATAD2B"
"20","GGCX"
"21","GORAB"
"22","GPATCH4"
"23","GPR89B"
"24","HAX1"
"25","HDGF"
"26","ILF2"
"27","INTS3"
"28","ISG20L2"
"29","KLHL20"
"30","LMNA"
"31","MGST3"
"32","MRPL9"
"33","MRPS14"
"34","MRPS21"
"35","OTUD7B"
"36","PEX11B"
"37","PI4KB"
"38","PLXNC1"
"39","POGK"
"40","POGZ"
"41","PPOX"
"42","PRRX1"
"43","PYGO2"
"44","RBM8A"
"45","RFX5"
"46","RPRD2"
"47","RRNAD1"
"48","SETDB1"
"49","SF3B4"
"50","SUCO"
"51","SWT1"
"52","TDRKH"
"53","THEM4"
"54","TSEN15"
"55","TXNIP"
"56","UBQLN4"
"57","USP21"
"58","VANGL2"
"59","VPS45"
"60","YY1AP1"
