"","c1_HuAgeGBsplitRnaseq_38....NPCbyNSC__"
"1","ACVR1B"
"2","AGPAT1"
"3","AIP"
"4","ALCAM"
"5","ANKRD46"
"6","ATP5F1E"
"7","ATP6V0B"
"8","ATP6V1G2"
"9","ATRAID"
"10","BBS10"
"11","BTF3"
"12","CACNB3"
"13","CALCOCO1"
"14","CAMLG"
"15","CD63"
"16","CFAP36"
"17","COMMD4"
"18","COX5B"
"19","COX6C"
"20","CWC27"
"21","DYNC2LI1"
"22","FAM217B"
"23","FAM8A1"
"24","FANCE"
"25","FHL1"
"26","GDAP1"
"27","GDE1"
"28","GDI1"
"29","GEM"
"30","GFM2"
"31","GGH"
"32","GMPR"
"33","GNAS"
"34","GPLD1"
"35","HDAC11"
"36","IGBP1"
"37","IKZF4"
"38","INTS8"
"39","KIF3A"
"40","LAPTM4B"
"41","LETMD1"
"42","LRP12"
"43","LSM14B"
"44","MCCC2"
"45","MIEN1"
"46","MLLT3"
"47","MT-CO3"
"48","MT-ND3"
"49","MTFR1"
"50","MYL6"
"51","NCKAP1"
"52","NDUFA1"
"53","NDUFB3"
"54","NDUFS4"
"55","NDUFS5"
"56","NFIB"
"57","NIPSNAP1"
"58","NME5"
"59","OSGIN2"
"60","OXR1"
"61","PAIP2"
"62","PCGF2"
"63","PFDN5"
"64","PGRMC1"
"65","PHACTR3"
"66","PHLDA1"
"67","PLXNA3"
"68","POLR2K"
"69","PSIP1"
"70","PSMA7"
"71","RBFOX2"
"72","RGL2"
"73","RHOBTB3"
"74","RIDA"
"75","RNU4-1"
"76","RNU4-2"
"77","ROMO1"
"78","RPL34"
"79","RPL36"
"80","RPL38"
"81","RPS14"
"82","RPS21"
"83","RPS27"
"84","RRAGA"
"85","RTL8C"
"86","SCG5"
"87","SDC2"
"88","SERINC5"
"89","SF3B6"
"90","SNAPC3"
"91","SS18L1"
"92","SSBP2"
"93","TBCA"
"94","UQCRH"
"95","UQCRQ"
"96","ZDHHC12"
"97","ZDHHC17"
"98","ZFAND1"
"99","ZMYND10"
"100","ZNF575"
