"","c1_HuAgeGBsplitRnaseq_42....TAPbyQNP__"
"1","ANKMY2"
"2","ARL4A"
"3","BLVRA"
"4","BZW2"
"5","C1orf52"
"6","C7orf25"
"7","CCM2"
"8","CCNT2"
"9","CDK13"
"10","COX19"
"11","DAGLB"
"12","DBNL"
"13","DPY19L1"
"14","EIF4EBP1"
"15","FAM220A"
"16","FIGNL1"
"17","GARS"
"18","GGCT"
"19","H2AFV"
"20","HERPUD2"
"21","HIBADH"
"22","HNRNPA2B1"
"23","HNRNPU"
"24","HUS1"
"25","IARS"
"26","KBTBD2"
"27","KLHL7"
"28","LYPD6"
"29","MAD1L1"
"30","MALSU1"
"31","MAT2A"
"32","MPLKIP"
"33","NDUFA4"
"34","NT5C3A"
"35","NUDT1"
"36","NUPL2"
"37","PAPOLG"
"38","PDGFA"
"39","PHF14"
"40","PHGDH"
"41","PLEKHA8"
"42","PMS2"
"43","PNRC2"
"44","POLD2"
"45","PSMA5"
"46","PSMG3"
"47","PURB"
"48","PYCR1"
"49","RAC1"
"50","RALA"
"51","RNF216"
"52","RPA3"
"53","SARS"
"54","SLC22A23"
"55","SLC29A4"
"56","SNX10"
"57","SNX13"
"58","SNX8"
"59","SP4"
"60","SRSF10"
"61","ST6GAL1"
"62","STARD3NL"
"63","SUN1"
"64","TAX1BP1"
"65","TBRG4"
"66","TNRC18"
"67","TRA2A"
"68","TSPAN13"
"69","TTYH3"
"70","TWISTNB"
"71","USP42"
"72","VPS41"
"73","ZDHHC4"
"74","ZNF316"
