"","c1_HuAgeGBsplitRnaseq_189....PGBCbyQGBC__"
"1","AC044802.1"
"2","AL137141.1"
"3","AL161421.1"
"4","AL355001.2"
"5","AL359513.1"
"6","ALG11"
"7","ALG5"
"8","B3GLCT"
"9","BORA"
"10","CENPJ"
"11","CKAP2"
"12","CSPG4"
"13","DCLK1"
"14","DLEU2"
"15","DNAJC15"
"16","EDNRB"
"17","EEF1AKMT1"
"18","ELF1"
"19","ESD"
"20","EXOSC8"
"21","FAM212B"
"22","GTF2F2"
"23","GTF3A"
"24","HMGB1"
"25","HMGB1P5"
"26","HSPH1"
"27","IFT88"
"28","IL17D"
"29","INTS6"
"30","KBTBD6"
"31","KPNA3"
"32","LATS2"
"33","MED4"
"34","MICU2"
"35","MIR17HG"
"36","MIR621"
"37","MRPL57"
"38","MTMR6"
"39","MTRF1"
"40","NEK3"
"41","NUDT15"
"42","NUFIP1"
"43","NUP58"
"44","PDS5B"
"45","PIBF1"
"46","PNRC1"
"47","POMP"
"48","PPT2-EGFL8"
"49","PSPC1"
"50","RFC3"
"51","RFXAP"
"52","RN7SL585P"
"53","RNASEH2B"
"54","RNF219"
"55","RNF6"
"56","SAP18"
"57","SERP2"
"58","SERPINE3"
"59","SLC25A15"
"60","SLC46A3"
"61","SMAD9"
"62","SPART"
"63","STARD13"
"64","SUCLA2"
"65","THSD1"
"66","TNFRSF19"
"67","UTP14C"
"68","VPS36"
"69","WDR92"
"70","XPO4"
"71","ZC3H13"
"72","ZDHHC20"
