"","c1_HuAgeGBsplitRnaseq_450....NPCbyNSC__"
"1","ACSL6"
"2","ACVR2A"
"3","ASB3"
"4","BCAS3"
"5","C17orf58"
"6","CDH10"
"7","CDR1"
"8","CHIC1"
"9","CHST11"
"10","CLDN9"
"11","CPEB1"
"12","CTDSPL"
"13","CYP2C8"
"14","DAB1"
"15","EFHD1"
"16","EML2"
"17","FAM126B"
"18","GJD2"
"19","GPR45"
"20","GRB14"
"21","GRIN2B"
"22","HDAC8"
"23","JAKMIP2"
"24","LFNG"
"25","MBD5"
"26","MFNG"
"27","NCKAP5"
"28","PAK5"
"29","PERP"
"30","PHACTR1"
"31","PIK3R3"
"32","PLCXD2"
"33","PLS1"
"34","POU3F1"
"35","PPM1E"
"36","PRRT1"
"37","PTPRG"
"38","RAB3B"
"39","RAB3C"
"40","SAMD5"
"41","SAXO2"
"42","SERGEF"
"43","SESTD1"
"44","SLC1A4"
"45","SNCA"
"46","SPARC"
"47","TANC2"
"48","TMEM241"
"49","TTC28"
"50","ZFPM2"
