"","c1_HuAgeGBsplitRnaseq_56....QSVZbyPSVZ__"
"1","ABHD3"
"2","ACAA2"
"3","ACSBG1"
"4","APCDD1"
"5","BCL2"
"6","C18orf21"
"7","C18orf25"
"8","C18orf32"
"9","CDH2"
"10","CDH20"
"11","CNDP2"
"12","CNTN3"
"13","CTIF"
"14","CYB5A"
"15","DSEL"
"16","DTNA"
"17","EPG5"
"18","ESCO1"
"19","FECH"
"20","GALNT1"
"21","IMPACT"
"22","KCTD1"
"23","KDSR"
"24","LMAN1"
"25","LMAN2L"
"26","MAPK4"
"27","MAPRE2"
"28","MBD2"
"29","MPPE1"
"30","MRO"
"31","NAPG"
"32","NCAM2"
"33","NETO1"
"34","NFATC1"
"35","NPC1"
"36","PARD6G"
"37","PHLPP1"
"38","PTPRM"
"39","RAB31"
"40","RIOK3"
"41","RPRD1A"
"42","SDSL"
"43","SEH1L"
"44","SLC25A18"
"45","SPIRE1"
"46","TAF4B"
"47","TMX3"
"48","VAPA"
"49","WDR7"
"50","ZADH2"
"51","ZNF516"
"52","ZNF521"
