"","c1_HuAgeGBsplitRnaseq_12....NPCbyNSC__"
"1","ACE2"
"2","ACSL1"
"3","APLN"
"4","APOD"
"5","ARHGEF15"
"6","CA2"
"7","CA4"
"8","CALD1"
"9","CASQ2"
"10","CAVIN3"
"11","CD34"
"12","CHCHD7"
"13","CLDN5"
"14","COL1A1"
"15","COL1A2"
"16","COL3A1"
"17","COL6A1"
"18","CPM"
"19","CST3"
"20","CTF1"
"21","CYP1B1"
"22","DCN"
"23","DEGS2"
"24","EDN3"
"25","ELOVL7"
"26","ENPEP"
"27","EPAS1"
"28","ESAM"
"29","EXOC3L1"
"30","FAIM2"
"31","FMOD"
"32","FOXC1"
"33","FOXQ1"
"34","FOXS1"
"35","GPR85"
"36","GUCY1B1"
"37","HEG1"
"38","HIGD1B"
"39","HRC"
"40","HRCT1"
"41","HTRA3"
"42","ITIH2"
"43","ITIH3"
"44","ITIH5"
"45","ITM2A"
"46","JCAD"
"47","JUP"
"48","KANK3"
"49","KDELR3"
"50","KLF9"
"51","LAMC1"
"52","LGALS4"
"53","LRRC32"
"54","LSR"
"55","LUM"
"56","MAP3K13"
"57","MDM2"
"58","MFSD2A"
"59","MMP11"
"60","MT2A"
"61","MYO1B"
"62","NAT8"
"63","NID1"
"64","NKD2"
"65","NODAL"
"66","OLFML2B"
"67","PDGFRB"
"68","PDK4"
"69","PLA1A"
"70","QPCT"
"71","RAB21"
"72","RASIP1"
"73","RGS5"
"74","ROBO4"
"75","SHISA4"
"76","SLC16A1"
"77","SLC30A1"
"78","SLC35E3"
"79","SLC38A5"
"80","STC1"
"81","STRA6"
"82","TAGLN"
"83","TBX3"
"84","TBXA2R"
"85","TGFB1I1"
"86","THBS1"
"87","TPM1"
"88","TRNP1"
"89","UNC5B"
"90","USP53"
"91","WNT4"
