"","c1_HuAgeGBsplitRnaseq_332....QSVZbyPSVZ__"
"1","ACSS1"
"2","AKAP13"
"3","ARNT2"
"4","ASB7"
"5","BBS4"
"6","C11orf24"
"7","C15orf39"
"8","CCDC80"
"9","CHSY1"
"10","CIB2"
"11","CORO2B"
"12","CRYAB"
"13","CSF1"
"14","CTDSP1"
"15","DENND4A"
"16","DPP8"
"17","EDC3"
"18","ETFA"
"19","FRMD8"
"20","GORASP2"
"21","ICE2"
"22","ICOSLG"
"23","IDH2"
"24","IGDCC4"
"25","IMP3"
"26","IQGAP1"
"27","IREB2"
"28","LINGO1"
"29","LRRC28"
"30","MAN2A2"
"31","MAN2C1"
"32","MAP2K5"
"33","MEF2A"
"34","MTFMT"
"35","NMB"
"36","NPTN"
"37","NT5DC3"
"38","PEAK1"
"39","PEX11A"
"40","POLG"
"41","PPCDC"
"42","PYGO1"
"43","RCCD1"
"44","RGMA"
"45","RHOG"
"46","RNPEPL1"
"47","SCAMP2"
"48","SCAMP5"
"49","SCAPER"
"50","SEMA4B"
"51","SLC29A2"
"52","SMIM8"
"53","SNAPC5"
"54","SNUPN"
"55","SNX33"
"56","STOML1"
"57","TARSL2"
"58","TCF7L1"
"59","TLN2"
"60","TM2D3"
"61","TMED3"
"62","UBL7"
"63","UNC45A"
"64","WDR61"
"65","WHAMM"
"66","ZFP36L2"
"67","ZNF592"
