"","c1_HuAgeGBsplitRnaseq_11....QSVZbyPSVZ__"
"1","ACOX3"
"2","ACYP2"
"3","ADD1"
"4","AFAP1"
"5","ANKIB1"
"6","AOX1"
"7","APBB2"
"8","ARHGAP24"
"9","ARL15"
"10","ATG4C"
"11","ATP8A1"
"12","BDH2"
"13","C10orf90"
"14","C21orf91"
"15","CAMKMT"
"16","CCDC25"
"17","CD59"
"18","CDO1"
"19","CLMN"
"20","CLYBL"
"21","COBL"
"22","CRAMP1"
"23","CYP2J2"
"24","DERL1"
"25","DMD"
"26","DNM3"
"27","DUSP19"
"28","ELMO1"
"29","EMC10"
"30","ERICH6"
"31","FAM53A"
"32","FBXL5"
"33","FCHSD2"
"34","FHIT"
"35","GADD45A"
"36","GATAD1"
"37","GNG12"
"38","GRID1"
"39","GRM3"
"40","GSTK1"
"41","HHIP"
"42","HIGD1C"
"43","HTT"
"44","IDUA"
"45","IGF2"
"46","IMMP2L"
"47","KCNK1"
"48","KLF3"
"49","KLHL5"
"50","LACC1"
"51","LANCL1"
"52","LETM1"
"53","LRPAP1"
"54","MAGI2"
"55","MAN2B2"
"56","MXD4"
"57","N4BP2"
"58","NAT8L"
"59","NAV1"
"60","NMUR2"
"61","NRARP"
"62","NXPE4"
"63","OPALIN"
"64","PACRGL"
"65","PALM2"
"66","PCDH9"
"67","PDE8A"
"68","PDZRN3"
"69","PEX5L"
"70","PIGG"
"71","PLCL1"
"72","PPP2R2B"
"73","PRKCQ"
"74","PRR5"
"75","RAB30"
"76","RABAC1"
"77","RAP1A"
"78","RGL3"
"79","RHOQ"
"80","SEMA4A"
"81","SEPSECS"
"82","SERPINI1"
"83","SH3GL3"
"84","SLC12A2"
"85","SLC25A52"
"86","SLC30A9"
"87","SLC9A9"
"88","SLCO1A2"
"89","SMIM14"
"90","SPATA1"
"91","SPOCK3"
"92","TAPT1"
"93","TBC1D12"
"94","TBC1D14"
"95","TESK2"
"96","TFEB"
"97","TMEM128"
"98","TMEM129"
"99","TMEM175"
"100","TMEM33"
"101","VILL"
"102","WDR1"
"103","ZCCHC24"
"104","ZCCHC4"
"105","ZDHHC9"
