"","c1_HuAgeGBsplitRnaseq_456....PSVZbyQSVZ__"
"1","ANAPC5"
"2","BCL7A"
"3","BRAP"
"4","C12orf49"
"5","CCDC142"
"6","CDK2AP1"
"7","CHFR"
"8","DDX55"
"9","DENR"
"10","EIF2B1"
"11","ERP29"
"12","FBXW8"
"13","GATC"
"14","GCN1"
"15","GOLGA3"
"16","GTF2H3"
"17","KDM2B"
"18","KNTC1"
"19","LRP8"
"20","MLXIP"
"21","NCOR2"
"22","NOC4L"
"23","PDCL3"
"24","PGAM5"
"25","POLE"
"26","POP5"
"27","PRKAB1"
"28","PTPN11"
"29","PUS1"
"30","RBM19"
"31","RFC5"
"32","RNF34"
"33","RPIA"
"34","SNRNP35"
"35","SRSF9"
"36","SUDS3"
"37","VPS37B"
"38","ZCCHC8"
