"","c1_HuAgeGBsplitRnaseq_57....QSVZbyPSVZ__"
"1","ABI2"
"2","ADORA2B"
"3","AGA"
"4","AKAP9"
"5","ALKBH5"
"6","ANK2"
"7","ANKFY1"
"8","ANKRD12"
"9","ANKRD50"
"10","ARFIP1"
"11","ATL2"
"12","BBS7"
"13","BMP2K"
"14","BMPR1B"
"15","CBR4"
"16","CC2D1B"
"17","CCDC88A"
"18","CCNK"
"19","CEP170B"
"20","COQ2"
"21","COX10"
"22","CRIM1"
"23","CRIP2"
"24","CTSO"
"25","CYP4V2"
"26","DHRS7B"
"27","DHX57"
"28","DMXL2"
"29","DNAH7"
"30","DNAJB14"
"31","ECI2"
"32","ELMOD2"
"33","ELOVL6"
"34","EMC1"
"35","ENPP6"
"36","ETFDH"
"37","FAM114A1"
"38","FAM161A"
"39","FAT3"
"40","FBXO8"
"41","FGF2"
"42","FLII"
"43","FLRT2"
"44","FNIP2"
"45","FRYL"
"46","G3BP2"
"47","GAB1"
"48","GPM6A"
"49","GRIA1"
"50","HEATR5B"
"51","HEY1"
"52","HNMT"
"53","HSD17B11"
"54","ID4"
"55","IDH1"
"56","INO80D"
"57","ITGA6"
"58","ITGAV"
"59","ITPR2"
"60","KLHL2"
"61","KLHL8"
"62","KPNA6"
"63","LRP1"
"64","MACF1"
"65","MANBA"
"66","MAPK10"
"67","MCFD2"
"68","MFAP3L"
"69","MFSD8"
"70","MIEF2"
"71","MORN2"
"72","MPRIP"
"73","MR1"
"74","MTHFD2L"
"75","NAF1"
"76","NBEAL1"
"77","NCOR1"
"78","NDUFAF7"
"79","NDUFC1"
"80","NKX2-2"
"81","NUDT6"
"82","NUDT9"
"83","PAQR3"
"84","PDLIM5"
"85","PIGL"
"86","PIKFYVE"
"87","PKD2"
"88","PPP1R13B"
"89","PPP3CA"
"90","PRKDC"
"91","PSME4"
"92","PTPN13"
"93","PTPN4"
"94","RAB11FIP5"
"95","RAPGEF2"
"96","RHBDD1"
"97","RWDD4"
"98","SCARB2"
"99","SCRG1"
"100","SEC14L1"
"101","SEC24D"
"102","SETD7"
"103","SGMS1"
"104","SLC25A29"
"105","SLC25A4"
"106","SLC2A9"
"107","SLC7A11"
"108","SMAD3"
"109","SMIM3"
"110","SNX25"
"111","SPCS3"
"112","SPTBN1"
"113","STOX2"
"114","SYNE1"
"115","TBC1D9"
"116","TCTA"
"117","TECPR2"
"118","TET2"
"119","TIGD2"
"120","TMEM14A"
"121","TMEM169"
"122","TMEM192"
"123","TMEM200C"
"124","TNS1"
"125","TOM1L2"
"126","TRAPPC11"
"127","TSPAN5"
"128","TTC19"
"129","UBC"
"130","UFSP2"
"131","VPS13C"
"132","VPS54"
"133","WDFY3"
"134","WDR17"
"135","ZFYVE21"
"136","ZNF839"
