"","c1_HuAgeGBsplitRnaseq_63....PGBCbyQGBC__"
"1","AC022743.1"
"2","AC087894.1"
"3","AC093789.1"
"4","AC097374.1"
"5","AC097374.2"
"6","ACTBP9"
"7","AL807761.2"
"8","AP001094.1"
"9","EEF1A1P1"
"10","EEF1A1P16"
"11","FAM198B"
"12","GAPDHP35"
"13","HMGN2P17"
"14","HSP90AA2P"
"15","HSP90AA6P"
"16","HSP90AB2P"
"17","MT-TG"
"18","MT-TH"
"19","MT-TI"
"20","MT-TL2"
"21","MT-TR"
"22","MT-TS1"
"23","MT-TS2"
"24","MT-TT"
"25","MTCO1P53"
"26","MTCO2P22"
"27","MTRNR2L1"
"28","NACA3P"
"29","NAP1L1P1"
"30","NOP56P1"
"31","NOP56P3"
"32","RN7SL66P"
"33","RPL19P21"
"34","RPL4P3"
"35","RTN3P1"
"36","SCDP1"
"37","SNX18P25"
"38","USP12PX"
