"","c1_HuAgeGBsplitRnaseq_456....TAPbyQNP__"
"1","AACS"
"2","ABCB9"
"3","ABCD2"
"4","ADGRL1"
"5","ANAPC5"
"6","ANKLE2"
"7","ATP6V0A2"
"8","BCL7A"
"9","C12orf43"
"10","C12orf65"
"11","CCDC92"
"12","CDK2AP1"
"13","CLIP1"
"14","DENR"
"15","DHX37"
"16","EIF2B1"
"17","EP400"
"18","ERP29"
"19","FBXW8"
"20","GATC"
"21","GOLGA3"
"22","GTF2H3"
"23","HIP1R"
"24","KDM2B"
"25","KIF21A"
"26","KMT5A"
"27","KNTC1"
"28","LRP8"
"29","MLEC"
"30","MPHOSPH9"
"31","NCOR2"
"32","P2RX7"
"33","PDCL3"
"34","PGAM5"
"35","POLE"
"36","POP5"
"37","PTPN11"
"38","PUS1"
"39","RAN"
"40","RBM19"
"41","RFC5"
"42","RNF34"
"43","RPIA"
"44","RSRC2"
"45","SBNO1"
"46","SCARB1"
"47","SLC15A4"
"48","SNRNP35"
"49","SPPL3"
"50","SRSF9"
"51","TMCC3"
"52","VPS37B"
"53","WSB2"
"54","ZCCHC8"
