"","c1_HuAgeGBsplitRnaseq_156....QSVZbyPSVZ__"
"1","ABCB10"
"2","ABL2"
"3","ACTN2"
"4","ADIPOR1"
"5","ARL8A"
"6","ARV1"
"7","BPNT1"
"8","BRI3BP"
"9","BRINP3"
"10","BROX"
"11","C1orf198"
"12","CDC42BPA"
"13","CNST"
"14","COG2"
"15","DEDD"
"16","DEGS1"
"17","DESI2"
"18","EDEM3"
"19","FH"
"20","GPATCH2"
"21","IARS2"
"22","IBA57"
"23","ITPKB"
"24","KDM5B"
"25","NENF"
"26","OAF"
"27","PEA15"
"28","PFKFB2"
"29","PGBD5"
"30","PPP2R5A"
"31","PSEN2"
"32","RAB29"
"33","RAB3GAP2"
"34","RGS20"
"35","RPS6KC1"
"36","SCCPDH"
"37","SFT2D2"
"38","SLC1A2"
"39","SLC41A1"
"40","SNAP47"
"41","TAPBP"
"42","TATDN3"
"43","TBCE"
"44","TMEM9"
"45","TOR1AIP2"
"46","TOR3A"
"47","TP53BP2"
"48","TRMT1L"
"49","TUBB2A"
"50","TUBB2B"
"51","XPR1"
