"","c1_HuAgeGBsplitRnaseq_30....PGBCbyQGBC__"
"1","ABCC4"
"2","AC021321.1"
"3","AC044802.1"
"4","AC064836.3"
"5","AC093909.1"
"6","AC093909.6"
"7","AC104113.1"
"8","ACAP3"
"9","ADORA1"
"10","AGTRAP"
"11","AIG1"
"12","AKIRIN2"
"13","AL024507.2"
"14","AL080276.2"
"15","AL109917.1"
"16","AL121652.1"
"17","AL121944.1"
"18","AL136116.3"
"19","AL137141.1"
"20","AL137784.3"
"21","AL138724.1"
"22","AL139274.2"
"23","AL161421.1"
"24","AL353626.2"
"25","AL355001.2"
"26","AL355338.1"
"27","AL359513.1"
"28","AL390955.2"
"29","AL445307.1"
"30","AL450998.2"
"31","AL513550.1"
"32","AL589666.1"
"33","AL589993.1"
"34","AL645728.1"
"35","AL691432.2"
"36","ALG11"
"37","ALG5"
"38","ARHGEF3"
"39","ARID1B"
"40","ARMT1"
"41","ARPC5"
"42","ATAD3A"
"43","ATG5"
"44","AURKAIP1"
"45","B3GALT6"
"46","B3GLCT"
"47","BCLAF1"
"48","BEND3"
"49","BORA"
"50","BVES-AS1"
"51","C1orf159"
"52","C6orf120"
"53","C6orf203"
"54","CAMTA1-DT"
"55","CAP1"
"56","CAPZB"
"57","CASP8AP2"
"58","CASP9"
"59","CCDC28A"
"60","CCDC50"
"61","CCNC"
"62","CD164"
"63","CDC40"
"64","CDC42"
"65","CENPJ"
"66","CEP162"
"67","CEP57L1"
"68","CITED2"
"69","CKAP2"
"70","CLSTN1"
"71","COL9A2"
"72","COQ3"
"73","COX20"
"74","COX6A1"
"75","COX7A2"
"76","CPTP"
"77","CSPG4"
"78","CTNNBIP1"
"79","CUTA"
"80","CXXC4"
"81","CYB5R4"
"82","DCLK1"
"83","DDX6"
"84","DFFA"
"85","DIS3"
"86","DLEU2"
"87","DNAJC11"
"88","DNAJC15"
"89","DNAJC16"
"90","DNAJC3"
"91","DYNLT1"
"92","ECHDC1"
"93","EDNRB"
"94","EEF1AKMT1"
"95","EFHD2"
"96","EIF4G2"
"97","ELF1"
"98","ELOA"
"99","EMILIN3"
"100","EPB41L2"
"101","ERI2"
"102","ERRFI1"
"103","ESD"
"104","EXOSC10"
"105","EXOSC8"
"106","EZR"
"107","FAM212B"
"108","FBXL19"
"109","FBXL4"
"110","FBXO30"
"111","FBXO5"
"112","FBXO6"
"113","FIG4"
"114","GINM1"
"115","GLS"
"116","GNB1"
"117","GOPC"
"118","GPR180"
"119","GTF2F2"
"120","GTF2H5"
"121","GTF3A"
"122","GTF3C6"
"123","H6PD"
"124","HBS1L"
"125","HDAC2"
"126","HDDC2"
"127","HEBP2"
"128","HKDC1"
"129","HMGB1"
"130","HMGB1P5"
"131","HSF2"
"132","HSPH1"
"133","IBTK"
"134","ICMT"
"135","IFT88"
"136","IGF2R"
"137","IL17D"
"138","INTS6"
"139","IPO5"
"140","IRAK1BP1"
"141","KATNA1"
"142","KBTBD6"
"143","KDELC1"
"144","KIAA2013"
"145","KLF12"
"146","KLHL4"
"147","KPNA3"
"148","LAMP2"
"149","LATS1"
"150","LATS2"
"151","LMO7"
"152","LRRC40"
"153","LTV1"
"154","LYRM2"
"155","LZIC"
"156","MAD2L2"
