"","c1_HuAgeGBsplitRnaseq_54....QNPbyTAP__"
"1","ABHD4"
"2","ADAM19"
"3","BACH1"
"4","CASP1"
"5","CNP"
"6","DDR1"
"7","DHX58"
"8","DOCK8"
"9","DOK1"
"10","DTX3L"
"11","FAM111A"
"12","FAM177A1"
"13","FGF22"
"14","IFI35"
"15","IL18BP"
"16","IL4I1"
"17","LCAT"
"18","LGALS3BP"
"19","LOXL3"
"20","LRP10"
"21","LRRK1"
"22","MGAT4A"
"23","MX1"
"24","MYD88"
"25","PARP14"
"26","PARP9"
"27","PIP4P1"
"28","PNP"
"29","PSME2"
"30","SALL2"
"31","SAV1"
"32","SLC12A4"
"33","TRIM21"
"34","WARS"
"35","XAF1"
"36","ZNF710"
