"","c1_HuAgeGBsplitRnaseq_253....TAPbyQNP__"
"1","ACTR5"
"2","ADNP"
"3","ATP1A2"
"4","B4GALT5"
"5","C19orf57"
"6","C1orf112"
"7","CABLES2"
"8","CBFA2T2"
"9","CEP250"
"10","CHD6"
"11","CSE1L"
"12","CSTF1"
"13","CTNNBL1"
"14","CTSA"
"15","DHX35"
"16","DIDO1"
"17","DLGAP4"
"18","DNAJC5"
"19","DPM1"
"20","DSN1"
"21","ELMO2"
"22","FITM2"
"23","IFT52"
"24","ITCH"
"25","MTG2"
"26","NADK2"
"27","NCOA3"
"28","NCOA5"
"29","NCOA6"
"30","OSBPL2"
"31","PCMTD2"
"32","PHF20"
"33","PIGU"
"34","PRPF6"
"35","RAE1"
"36","RALGAPB"
"37","RBL1"
"38","RBM38"
"39","RNF114"
"40","RPN2"
"41","RPRD1B"
"42","SASS6"
"43","SCYL3"
"44","SLC9A8"
"45","SOGA1"
"46","SPATA2"
"47","SRC"
"48","STAU1"
"49","STK4"
"50","STMN3"
"51","SULF2"
"52","TCEA2"
"53","TP53RK"
"54","TPD52L2"
"55","TTI1"
"56","TTLL4"
"57","YTHDF1"
"58","YWHAB"
"59","ZFP64"
"60","ZGPAT"
"61","ZHX3"
"62","ZMYND8"
"63","ZNF335"
"64","ZNF512B"
"65","ZSWIM1"
"66","ZSWIM3"
