"","c1_HuAgeGBsplitRnaseq_776....PGBCbyQGBC__"
"1","AL512598.1"
"2","ATP6V0B"
"3","COMMD4"
"4","EDF1"
"5","EEF1B2"
"6","FBL"
"7","FOXRED2"
"8","GEMIN8P4"
"9","HINT1"
"10","HMGXB4"
"11","HNRNPA3P12"
"12","MRPS36"
"13","MYL12BP1"
"14","NDUFA2"
"15","NME4"
"16","PAIP2"
"17","PRELID1P1"
"18","RAB34"
"19","RBFOX2"
"20","RPL24P2"
"21","RPL39"
"22","RPL4P5"
"23","RPS21"
"24","RPS27A"
"25","RPS3AP5"
"26","RPS9"
"27","RPSA"
"28","SEC11A"
"29","SPR"
"30","TPT1"
"31","TUBB4B"
"32","TXNDC15"
"33","UQCRQ"
"34","ZDHHC12"
