"","c1_HuAgeGBsplitRnaseq_37....QGBCbyPGBC__"
"1","AC009148.1"
"2","AC103564.1"
"3","AC114490.3"
"4","ADAMTS13"
"5","AJM1"
"6","AL138781.1"
"7","AL138781.2"
"8","AL157935.1"
"9","AL355987.3"
"10","AL390067.1"
"11","AL583839.1"
"12","ANAPC2"
"13","ASPDH"
"14","AUH"
"15","BSN-AS2"
"16","BX649601.1"
"17","BX649632.1"
"18","C9orf147"
"19","CAMSAP1"
"20","CCDC136"
"21","CDK5RAP2"
"22","CYSRT1"
"23","DNLZ"
"24","DPH7"
"25","EXD3"
"26","FAAH"
"27","FAM102A"
"28","FAM166A"
"29","FAM69B"
"30","FBXW5"
"31","FGFRL1"
"32","FRMPD3"
"33","GARNL3"
"34","GAS1RR"
"35","GP1BA"
"36","HABP4"
"37","IER5L"
"38","IL3RA"
"39","INPP5E"
"40","KYAT1"
"41","LEAP2"
"42","LINC00893"
"43","LINC00963"
"44","LRSAM1"
"45","MAMDC4"
"46","MRRF"
"47","NALT1"
"48","NPDC1"
"49","NSMF"
"50","NUDT4"
"51","PHPT1"
"52","PNPLA7"
"53","POMT1"
"54","PPP1R26"
"55","PRRC2B"
"56","PRUNE2"
"57","PTGES2-AS1"
"58","PTPA"
"59","RALGDS"
"60","RAPGEF1"
"61","RGS16"
"62","RNF208"
"63","RNF224"
"64","RORB-AS1"
"65","SH3GLB2"
"66","SLC25A25-AS1"
"67","SLC34A3"
"68","SLC44A1"
"69","SNAPC4"
"70","SNX30"
"71","SRGAP1"
"72","STKLD1"
"73","TPRN"
"74","USP20"
"75","ZCCHC6"
"76","ZNF483"
"77","ZNF608"
