"","c1_HuAgeGBsplitRnaseq_57....PGBObyQGBO__"
"1","AC009414.2"
"2","AC073046.1"
"3","AC096733.2"
"4","AC107214.2"
"5","AC115522.1"
"6","AL118558.3"
"7","AL133325.3"
"8","AL133367.1"
"9","AL135791.1"
"10","AL136040.1"
"11","AL138976.2"
"12","AL157700.1"
"13","AL589826.2"
"14","APC"
"15","C14orf132"
"16","CAMK2D"
"17","CCNK"
"18","CDCA4"
"19","CEP170B"
"20","CRIM1"
"21","CYP4V2"
"22","DST"
"23","FAM114A1"
"24","FAM129A"
"25","FLRT2"
"26","IL6ST"
"27","ITGA6"
"28","ITGAV"
"29","LINC00638"
"30","LINC01521"
"31","LINC02560"
"32","LRP1"
"33","LYPD5"
"34","MARF1"
"35","MBNL1"
"36","MR1"
"37","PDLIM5"
"38","PKD2"
"39","PLEKHH2"
"40","PPIAP67"
"41","PPP1CB"
"42","RN7SL316P"
"43","RNF213"
"44","RPL21P89"
"45","SEC24D"
"46","SLC7A11"
"47","SNHG10"
"48","TCIM"
"49","TEX22"
"50","THAP9"
