"","c1_HuAgeGBsplitRnaseq_332....PGBCbyQGBC__"
"1","AAGAB"
"2","AC009506.1"
"3","AC018904.1"
"4","AC034229.4"
"5","AC107214.1"
"6","AC135803.1"
"7","ACSS1"
"8","ADAM10"
"9","ADPGK"
"10","ANP32A"
"11","AP001107.9"
"12","ARHGEF2"
"13","ARNT2"
"14","BNIP2"
"15","C11orf24"
"16","CCDC80"
"17","CD276"
"18","CHSY1"
"19","CIB1"
"20","CISD1"
"21","CORO2B"
"22","COX5A"
"23","CSF1"
"24","CTDSP1"
"25","DAPK2"
"26","DIS3L"
"27","EDC3"
"28","EFL1"
"29","ELOVL3"
"30","ETFA"
"31","FAM96A"
"32","FRMD8"
"33","GABPB1"
"34","GORASP2"
"35","HDGFL3"
"36","HMG20A"
"37","ICOSLG"
"38","IDH2"
"39","IGDCC4"
"40","IMP3"
"41","INTS14"
"42","IREB2"
"43","KIF7"
"44","LEO1"
"45","LINS1"
"46","MESD"
"47","MESP1"
"48","MORF4L1"
"49","MRPL46"
"50","NMB"
"51","NPTN"
"52","OAZ2"
"53","PEAK1"
"54","PKM"
"55","POLR2M"
"56","PPCDC"
"57","PSMA4"
"58","PTPN9"
"59","RAB11A"
"60","RCCD1"
"61","RHOG"
"62","RNPEPL1"
"63","RSL24D1"
"64","SELENOS"
"65","SEMA4B"
"66","SENP8"
"67","SIMC1"
"68","SIN3A"
"69","SLC29A2"
"70","SMIM8"
"71","SNAP23P1"
"72","SNUPN"
"73","SPG21"
"74","STOML1"
"75","TARSL2"
"76","TBC1D2B"
"77","TIPIN"
"78","TMED3"
"79","UBE2Q2"
"80","UBL7"
"81","UBL7-AS1"
"82","ZNF609"
