"","c1_HuAgeGBsplitRnaseq_191....PGBObyQGBO__"
"1","AC008443.4"
"2","ACRV1"
"3","ADAM11"
"4","AL049612.1"
"5","AL365203.2"
"6","CHGB"
"7","EEF1A2"
"8","GPR68"
"9","HSPB3"
"10","LZTS1"
"11","NPTX1"
"12","NPTX2"
"13","NRIP3"
"14","PLK2"
"15","RN7SL471P"
"16","SH3PXD2A"
"17","STEAP3"
"18","SYNGR3"
"19","TUBA4A"
