"","c1_HuAgeGBsplitRnaseq_356....PGBCbyQGBC__"
"1","ABCC10"
"2","ACOT13"
"3","ARRB2"
"4","ATF6B"
"5","BAG6"
"6","BEND6"
"7","BRPF3"
"8","BYSL"
"9","C6orf106"
"10","C6orf62"
"11","CDC5L"
"12","CNPY3"
"13","DAXX"
"14","DNPH1"
"15","EHMT2"
"16","FBXO9"
"17","FKBPL"
"18","GPANK1"
"19","GTPBP2"
"20","HIVEP1"
"21","HMGN4"
"22","HSP90AB1"
"23","HTRA2"
"24","KANSL3"
"25","KDM1B"
"26","KLHDC3"
"27","LSM2"
"28","MAD2L1BP"
"29","MEA1"
"30","MED20"
"31","MRPL14"
"32","MRPS18B"
"33","MUT"
"34","NELFE"
"35","NUP153"
"36","PFDN2"
"37","PFDN6"
"38","POLR1C"
"39","PPP2R5D"
"40","PRR3"
"41","PTK7"
"42","RING1"
"43","RNF5"
"44","RPL7L1"
"45","SLC29A1"
"46","SLC35B2"
"47","SMIM13"
"48","TAF8"
"49","TMEM170B"
"50","TNFAIP6"
"51","TPMT"
"52","TRIM26"
"53","VARS"
"54","VPS52"
"55","WDR46"
"56","WDR54"
"57","WRNIP1"
"58","ZNF184"
"59","ZNF204P"
"60","ZNF322"
"61","ZNF391"
"62","ZNF76"
"63","ZSCAN31"
"64","ZSCAN9"
