"","c1_HuAgeGBsplitRnaseq_46....QGBCbyPGBC__"
"1","AC003002.2"
"2","AC005498.3"
"3","AC008969.1"
"4","AC010327.5"
"5","AC012313.6"
"6","AC012313.8"
"7","AC026803.1"
"8","AF213884.3"
"9","BRSK1"
"10","C19orf18"
"11","GRIN2D"
"12","LINC00663"
"13","LMTK3"
"14","LRRC4B"
"15","MYPOP"
"16","NOVA2"
"17","PGM2L1"
"18","PPM1N"
"19","PRSS27"
"20","SLC27A5"
"21","TMEM86B"
"22","ZNF160"
"23","ZNF211"
"24","ZNF444"
"25","ZNF471"
"26","ZNF528-AS1"
"27","ZNF582-AS1"
"28","ZNF610"
"29","ZNF667"
"30","ZNF766"
"31","ZNF805"
"32","ZNF83"
