"","c1_HuAgeGBsplitRnaseq_583....QGBObyPGBO__"
"1","AC016876.1"
"2","AP003392.5"
"3","ATP1B2"
"4","BORCS6"
"5","C1QBP"
"6","CLUH"
"7","CTDNEP1"
"8","EIF5A"
"9","FAM189B"
"10","FXR2"
"11","ITGAE"
"12","KCTD11"
"13","KDM6B"
"14","MAP2K3"
"15","MED11"
"16","MRM3"
"17","MYBBP1A"
"18","NUP88"
"19","PFN1"
"20","PHF23"
"21","PSMB6"
"22","PTRHD1"
"23","RNU6-703P"
"24","RPAIN"
"25","RRS1"
"26","SLC25A11"
"27","SLC43A2"
"28","SPAG7"
"29","SRR"
"30","STX8"
"31","TIMM22"
"32","TRAPPC1"
"33","TXNDC17"
"34","WRAP53"
"35","WSCD1"
"36","YWHAE"
"37","ZNF232"
