"","c1_HuAgeGBsplitRnaseq_158....QSVZbyPSVZ__"
"1","ARHGAP23"
"2","ATP6V0A1"
"3","ATXN7L3"
"4","COA3"
"5","COPZ2"
"6","CWC25"
"7","DHRS11"
"8","DHRS13"
"9","ERAL1"
"10","FAM222B"
"11","FBXL20"
"12","G6PC3"
"13","GFAP"
"14","GGNBP2"
"15","GHDC"
"16","HS6ST1"
"17","IFT20"
"18","KAZALD1"
"19","KRT10"
"20","MED24"
"21","MLLT6"
"22","MRM1"
"23","MRPL10"
"24","NF1"
"25","NLE1"
"26","NT5C3B"
"27","NUFIP2"
"28","PARM1"
"29","PEX12"
"30","PGAP3"
"31","PIP4K2B"
"32","PLCD3"
"33","PLEKHH3"
"34","PROCA1"
"35","PRRG2"
"36","RHOT1"
"37","SCRN2"
"38","SDF2"
"39","SNF8"
"40","SOCS7"
"41","STAT5A"
"42","TLCD1"
"43","TMUB2"
"44","TRAF4"
