"","c1_HuAgeGBsplitRnaseq_23....NSCbyNPC__"
"1","ALG8"
"2","AUP1"
"3","BIRC3"
"4","CAMTA2"
"5","CCDC115"
"6","CCDC152"
"7","CD79B"
"8","CEP135"
"9","CER1"
"10","CHCHD4"
"11","CHRNA4"
"12","CMTM6"
"13","CNTROB"
"14","COL2A1"
"15","CTC1"
"16","CTNNB1"
"17","DDX54"
"18","EDEM1"
"19","GAB2"
"20","GLB1"
"21","GPD1L"
"22","GPX3"
"23","HRH1"
"24","INTS4"
"25","LHFPL4"
"26","MAP2K3"
"27","MED12"
"28","METTL16"
"29","MIS12"
"30","MLH1"
"31","MYBBP1A"
"32","MYH10"
"33","MYO1C"
"34","NCBP3"
"35","NUP210"
"36","NUP88"
"37","OGG1"
"38","OLIG1"
"39","OXSM"
"40","PAICS"
"41","PELP1"
"42","PFAS"
"43","PFN1"
"44","PHF23"
"45","POLR2A"
"46","PPAT"
"47","PRPF8"
"48","RAD18"
"49","RFLNB"
"50","RPA1"
"51","SGO1"
"52","SLC25A11"
"53","SLC43A2"
"54","SMPD4"
"55","SMYD4"
"56","SNRNP200"
"57","SNX9"
"58","SRD5A3"
"59","STK11IP"
"60","SUCLG2"
"61","SUMF1"
"62","TADA3"
"63","TAMM41"
"64","TBC1D5"
"65","TLCD2"
"66","TNFAIP3"
"67","USP46"
"68","XPC"
"69","XYLB"
