"","c1_HuAgeGBsplitRnaseq_228....QNPbyTAP__"
"1","AFF4"
"2","C5orf15"
"3","CAST"
"4","CDC42SE2"
"5","CPEB4"
"6","CREBRF"
"7","CTNNA1"
"8","CYFIP2"
"9","G3BP1"
"10","GEMIN5"
"11","JADE2"
"12","LYSMD3"
"13","MATR3"
"14","MRPL22"
"15","PANK3"
"16","PURA"
"17","PWWP2A"
"18","RBM22"
"19","SEC24A"
"20","SHMT1"
"21","SLU7"
"22","TTC1"
