"","c1_HuAgeGBsplitRnaseq_68....PGBCbyQGBC__"
"1","ABCC10"
"2","ABCF1"
"3","ABT1"
"4","AC098934.1"
"5","AC098934.2"
"6","ACOT13"
"7","ADCY10P1"
"8","ARRB2"
"9","ATF6B"
"10","BAG6"
"11","BEND6"
"12","BRPF3"
"13","BTBD9"
"14","BYSL"
"15","C6orf106"
"16","C6orf62"
"17","C6orf89"
"18","CCDC167"
"19","CDC5L"
"20","CMTR1"
"21","CNPY3"
"22","DAXX"
"23","DNPH1"
"24","EHMT2"
"25","FBXO9"
"26","FKBPL"
"27","GLO1"
"28","GNL1"
"29","GPANK1"
"30","GTPBP2"
"31","HIVEP1"
"32","HMGN4"
"33","HSP90AB1"
"34","HTRA2"
"35","KANSL3"
"36","KCTD20"
"37","KDM1B"
"38","KLHDC3"
"39","LSM2"
"40","MAD2L1BP"
"41","MAPK14"
"42","MDC1"
"43","MDGA1"
"44","MEA1"
"45","MED20"
"46","MRPL14"
"47","MRPS10"
"48","MRPS18B"
"49","MUT"
"50","NELFE"
"51","NFYA"
"52","NUP153"
"53","PFDN2"
"54","PFDN6"
"55","POLR1C"
"56","PPIL1"
"57","PPP2R5D"
"58","PRR3"
"59","PTK7"
"60","RING1"
"61","RNF5"
"62","RNF8"
"63","RPL7L1"
"64","RRP36"
"65","SAYSD1"
"66","SLC29A1"
"67","SLC35B2"
"68","SLC39A7"
"69","SMIM13"
"70","SNRPC"
"71","SRPK1"
"72","STK38"
"73","TAF8"
"74","TMEM170B"
"75","TNFAIP6"
"76","TPMT"
"77","TRIM26"
"78","VARS"
"79","VPS52"
"80","WDR46"
"81","WDR54"
"82","WRNIP1"
"83","ZNF184"
"84","ZNF204P"
"85","ZNF322"
"86","ZNF391"
"87","ZNF76"
"88","ZSCAN31"
"89","ZSCAN9"
