"","c1_HuAgeGBsplitRnaseq_192....PGBObyQGBO__"
"1","AC007613.1"
"2","AL158211.3"
"3","AL353807.4"
"4","CD44"
"5","CETN4P"
"6","CHL1-AS2"
"7","DUSP8"
"8","KRTAP5-9"
"9","LINC01219"
"10","LMNTD2"
"11","LRRC56"
"12","MAP3K5"
"13","MLLT10P2"
"14","OLFM1"
"15","PAM"
"16","PROX1"
"17","SCT"
"18","TMEM220"
"19","TOLLIP-AS1"
"20","TPP1"
