"","c1_HuAgeGBsplitRnaseq_8....QGBObyPGBO__"
"1","AC004069.1"
"2","AC005736.1"
"3","AC090241.3"
"4","AC098476.1"
"5","AC108025.2"
"6","AC108860.2"
"7","AF111169.2"
"8","AL009176.1"
"9","AL031773.1"
"10","AL035414.1"
"11","AL049780.3"
"12","AL133325.2"
"13","AL137002.2"
"14","AL139384.2"
"15","AL442128.2"
"16","AL591926.7"
"17","ALPK2"
"18","BCL2L12P1"
"19","CCDC88C"
"20","CES3"
"21","CNOT6LP1"
"22","COX7B"
"23","DYRK3"
"24","FAM27D1"
"25","FUT9"
"26","GAPDHP37"
"27","GAS2"
"28","GSC"
"29","IGFLR1"
"30","LBX1"
"31","LBX1-AS1"
"32","LINC00404"
"33","LINC01018"
"34","LINC01058"
"35","LINC01659"
"36","MCHR1"
"37","OR7E94P"
"38","PBDC1"
"39","PLXDC2"
"40","PRAME"
"41","RAB20"
"42","RIPPLY3"
"43","RN7SL296P"
"44","RNU5B-1"
"45","RPL12P35"
"46","RPL13AP20"
"47","RPS27P16"
"48","SFRP2"
"49","SOX1-OT"
"50","SP9"
"51","TBCC"
"52","TGFB2-AS1"
"53","TPT1P9"
"54","TRERF1"
"55","U95743.1"
"56","ZDHHC11B"
"57","ZNF602P"
