"","c1_HuAgeGBsplitRnaseq_293....TAPbyQNP__"
"1","ABI1"
"2","ANKRD16"
"3","ARHGAP12"
"4","ARHGAP21"
"5","ARL5B"
"6","BMS1"
"7","CCNY"
"8","CDC123"
"9","CELF2"
"10","CUL2"
"11","DCLRE1C"
"12","DNAJC1"
"13","EPC1"
"14","GDI2"
"15","GTPBP4"
"16","HACD1"
"17","HNRNPF"
"18","HSPA14"
"19","ITPRIPL1"
"20","KIAA1841"
"21","KIF5B"
"22","LARP4B"
"23","MCM10"
"24","MLLT10"
"25","MTPAP"
"26","NMT2"
"27","NSUN6"
"28","NUDT5"
"29","OPTN"
"30","PITRM1"
"31","PRPF18"
"32","PRTFDC1"
"33","RBM17"
"34","RPP38"
"35","RSU1"
"36","SEC61A2"
"37","SEPHS1"
"38","STAM"
"39","SUV39H2"
"40","TAF3"
"41","TRDMT1"
"42","UPF2"
"43","WAC"
"44","WDR37"
"45","ZEB1"
"46","ZMYND11"
"47","ZNF248"
"48","ZNF487"
