"","c1_HuAgeGBsplitRnaseq_331....QSVZbyPSVZ__"
"1","ADAL"
"2","APBA2"
"3","AQR"
"4","ATG9A"
"5","CALR"
"6","CASC4"
"7","CATSPER2"
"8","CCDC32"
"9","CHST14"
"10","CYFIP1"
"11","CYP20A1"
"12","DCTN1"
"13","DNAJB9"
"14","DNAJC17"
"15","EMC4"
"16","EMC7"
"17","FICD"
"18","FRMD5"
"19","FZD4"
"20","GNB5"
"21","GPR176"
"22","ITPKA"
"23","IVD"
"24","LCMT2"
"25","LPCAT4"
"26","LRRC57"
"27","LYSMD2"
"28","MAOB"
"29","NDUFAF1"
"30","NEO1"
"31","NIPA1"
"32","NIPA2"
"33","PDIA4"
"34","PRTG"
"35","RCN2"
"36","RMDN3"
"37","RPAP1"
"38","SECISBP2L"
"39","SNAP23"
"40","SPPL2A"
"41","TJP1"
"42","TMEM87A"
"43","TMOD2"
"44","TRIP4"
"45","TSPAN3"
"46","UBR1"
"47","VPS18"
