"","c1_HuAgeGBsplitRnaseq_690....TAPbyQNP__"
"1","ADAT2"
"2","AGPAT4"
"3","AHI1"
"4","AIG1"
"5","ALDH8A1"
"6","AMD1"
"7","ARID1B"
"8","ARMT1"
"9","BCLAF1"
"10","C6orf120"
"11","CAPZB"
"12","CCDC28A"
"13","CITED2"
"14","DYNLT1"
"15","ECHDC1"
"16","ERMARD"
"17","EZR"
"18","FAXC"
"19","FBXO30"
"20","FBXO5"
"21","FOXO3"
"22","FYN"
"23","GINM1"
"24","GTF2H5"
"25","GTF3C6"
"26","HBS1L"
"27","HDAC2"
"28","HDDC2"
"29","HEBP2"
"30","HINT3"
"31","HSF2"
"32","IGF2R"
"33","KATNA1"
"34","KPNA5"
"35","LATS1"
"36","LTV1"
"37","MED23"
"38","MPC1"
"39","MRPL18"
"40","MTHFD1L"
"41","MTRF1L"
"42","NHSL1"
"43","PCMT1"
"44","PDCD2"
"45","PEX3"
"46","PEX7"
"47","PHF10"
"48","PPIL4"
"49","PRR18"
"50","PSMB1"
"51","PTPRK"
"52","QKI"
"53","REPS1"
"54","RGS17"
"55","RMND1"
"56","RNF146"
"57","RNF217"
"58","RPF2"
"59","RPS6KA2"
"60","RSPH3"
"61","RWDD1"
"62","SCAF8"
"63","SEC63"
"64","SERAC1"
"65","SF3B5"
"66","SFT2D1"
"67","SHPRH"
"68","SMPD2"
"69","STX12"
"70","STX7"
"71","SYNJ2"
"72","TAB2"
"73","TBP"
"74","TBPL1"
"75","TCP1"
"76","TCTE3"
"77","TFB1M"
"78","TIAM2"
"79","TMEM181"
"80","TMEM242"
"81","TMEM30A"
"82","TRMT11"
"83","TSPYL4"
"84","TTC21B"
"85","TULP4"
"86","VTA1"
"87","WDR27"
"88","ZBTB2"
"89","ZDHHC14"
