"","c1_HuAgeGBsplitRnaseq_186....NSCbyNPC__"
"1","ALDH18A1"
"2","BTAF1"
"3","CA9"
"4","CCDC77"
"5","CCND2"
"6","CDCA3"
"7","CLEC2D"
"8","COPS7A"
"9","CWF19L1"
"10","DDX21"
"11","DNA2"
"12","DNAJC9"
"13","DNMBP"
"14","ECD"
"15","EGLN3"
"16","ENTPD7"
"17","ERLIN1"
"18","ERO1A"
"19","EXOC6"
"20","FOXM1"
"21","FRA10AC1"
"22","FRAT1"
"23","GAPDH"
"24","GBF1"
"25","GOLT1B"
"26","HELLS"
"27","HERC4"
"28","HK2"
"29","IGFBP5"
"30","IPMK"
"31","LDHA"
"32","MARVELD1"
"33","MMS19"
"34","MRI1"
"35","MRPL51"
"36","NCAPD2"
"37","NCOA4"
"38","NOLC1"
"39","NPM3"
"40","P4HA1"
"41","PARP11"
"42","PCGF5"
"43","PDK1"
"44","PFKFB4"
"45","POLR3A"
"46","PPRC1"
"47","R3HCC1L"
"48","RAD51AP1"
"49","RCC1"
"50","RCC2"
"51","REEP3"
"52","RGL1"
"53","RRP12"
"54","SGPL1"
"55","SLC16A3"
"56","SLC35G1"
"57","STBD1"
"58","TSPAN14"
"59","UBTD1"
"60","USP5"
"61","VPS26A"
"62","WAPL"
"63","WASHC2A"
"64","ZFAND4"
