"","c1_HuAgeGBsplitRnaseq_12....PGBObyQGBO__"
"1","AC005180.2"
"2","AC023509.4"
"3","AC025423.3"
"4","AC026471.6"
"5","AC069224.1"
"6","AC080080.1"
"7","AC103706.1"
"8","AF111167.2"
"9","AHNAK2"
"10","AKR1C1"
"11","AL596442.2"
"12","AOC3"
"13","CA2"
"14","CAVIN3"
"15","CENPVL3"
"16","COL1A1"
"17","COL4A1"
"18","COL4A2"
"19","COL5A1"
"20","COL6A1"
"21","COL6A2"
"22","CYR61"
"23","EGFL7"
"24","EPAS1"
"25","ESAM"
"26","EXOC3L1"
"27","FAM46B"
"28","FN1"
"29","FOXCUT"
"30","GIPC3"
"31","HIGD1B"
"32","HMGA2"
"33","IGFBP3"
"34","ITGA10"
"35","ITIH5"
"36","KDELR3"
"37","LAMA4"
"38","LAMC1"
"39","LTBP2"
"40","MCAM"
"41","NBL1"
"42","NOTCH3"
"43","OLFML2A"
"44","OLFML2B"
"45","PECAM1"
"46","PLAG1"
"47","PMAIP1"
"48","RASIP1"
"49","SLC7A1"
"50","SLC7A5P1"
"51","TAGLN"
"52","TBXA2R"
"53","TGFB1I1"
"54","THBS1"
"55","TPM1"
"56","TPM2"
