"","c1_HuAgeGBsplitRnaseq_45....QSVZbyPSVZ__"
"1","ABAT"
"2","AKAP8"
"3","ALKBH7"
"4","AP3D1"
"5","APC2"
"6","ATP13A1"
"7","BSG"
"8","CD320"
"9","CDC34"
"10","CLPP"
"11","CTTNBP2"
"12","DDA1"
"13","DHPS"
"14","DOHH"
"15","FAHD2A"
"16","FBXW9"
"17","FKBP8"
"18","FZR1"
"19","GCDH"
"20","GIPC1"
"21","GPX4"
"22","HSPA1A"
"23","HYKK"
"24","ILVBL"
"25","JUND"
"26","MAP2K2"
"27","MAP2K7"
"28","MPV17L2"
"29","NCLN"
"30","NDUFS7"
"31","NFIC"
"32","NR2C2AP"
"33","PDE4A"
"34","PNPLA6"
"35","POLRMT"
"36","REEP6"
"37","RFXANK"
"38","RTN4"
"39","SLC25A23"
"40","SLC25A42"
"41","SLC35F5"
"42","SNAPC2"
"43","SPPL2B"
"44","SSBP4"
"45","TECR"
"46","TLE2"
"47","TMED1"
"48","TMEM161A"
"49","TMEM259"
"50","TRAPPC5"
"51","UBXN6"
"52","UNC50"
"53","XAB2"
"54","YPEL5"
"55","ZBTB7A"
"56","ZNF414"
