"","c1_HuAgeGBsplitRnaseq_29....QNPbyTAP__"
"1","ABRAXAS2"
"2","ACTR1A"
"3","ADD3"
"4","ADM"
"5","ALDOA"
"6","ANXA7"
"7","ATP5MD"
"8","AVPI1"
"9","BAG3"
"10","BCCIP"
"11","BHLHE40"
"12","BLOC1S2"
"13","BNIP3"
"14","BTAF1"
"15","BTRC"
"16","BUB3"
"17","C10orf88"
"18","C12orf57"
"19","CACUL1"
"20","CASP7"
"21","CCDC186"
"22","CCND2"
"23","CD1D"
"24","CD9"
"25","CHUK"
"26","CSGALNACT2"
"27","CTBP2"
"28","CUEDC2"
"29","CUTC"
"30","CWF19L1"
"31","DCLRE1A"
"32","DHX32"
"33","DOCK1"
"34","DPCD"
"35","DPYSL4"
"36","EDRF1"
"37","EIF3A"
"38","ERLIN1"
"39","FAM160B1"
"40","FAM162A"
"41","FAM204A"
"42","FAM45A"
"43","FBXL15"
"44","FOXJ2"
"45","FRA10AC1"
"46","GABARAPL1"
"47","GAPDH"
"48","GBF1"
"49","GLRX3"
"50","GOT1"
"51","GPAM"
"52","GPI"
"53","GRK5"
"54","HIF1AN"
"55","HPS6"
"56","IDE"
"57","IGFBP5"
"58","IKZF5"
"59","INPP5F"
"60","LDB1"
"61","LDHA"
"62","LZTS2"
"63","MCMBP"
"64","MINPP1"
"65","MRPL43"
"66","MXI1"
"67","MYOF"
"68","NANOS1"
"69","NFKB2"
"70","NHLRC2"
"71","NME3"
"72","NOC3L"
"73","NOLC1"
"74","NPM3"
"75","NT5C2"
"76","OAT"
"77","PANK1"
"78","PCGF5"
"79","PCGF6"
"80","PDCD11"
"81","PDCD4"
"82","PDZD8"
"83","PGK1"
"84","PGM1"
"85","PHYHIPL"
"86","PI4K2A"
"87","PIANP"
"88","PLCE1"
"89","PLEKHA1"
"90","PLEKHA4"
"91","PPP2R2D"
"92","PPRC1"
"93","PRDX3"
"94","PSTK"
"95","PTPRE"
"96","PWWP2B"
"97","RAB11FIP2"
"98","RPP30"
"99","S100A10"
"100","SEC23IP"
"101","SFR1"
"102","SFXN3"
"103","SHOC2"
"104","SLC18A2"
"105","SLC25A28"
"106","SLC35G1"
"107","SLF2"
"108","SLK"
"109","SMC3"
"110","SMNDC1"
"111","SORBS1"
"112","STN1"
"113","SUFU"
"114","TACC2"
"115","TAF5"
"116","TAPBPL"
"117","TCF7L2"
"118","TIAL1"
"119","TM9SF3"
"120","TMEM254"
"121","TNKS2"
"122","TRIM8"
"123","TRUB1"
"124","TUBGCP2"
"125","TWNK"
"126","TYSND1"
"127","VTI1A"
"128","WBP1L"
"129","WDR11"
"130","XPNPEP1"
"131","ZDHHC6"
"132","ZFAND4"
"133","ZFYVE27"
"134","ZNF518A"
"135","ZRANB1"
