"","c1_HuAgeGBsplitRnaseq_42....QGBCbyPGBC__"
"1","AC004540.2"
"2","AC005154.1"
"3","AC005154.6"
"4","AC079089.1"
"5","AC079089.2"
"6","AC096887.1"
"7","AC102953.2"
"8","AC147651.1"
"9","AMZ1"
"10","BLVRA"
"11","BOLA2P3"
"12","C1orf52"
"13","C7orf26"
"14","CCZ1"
"15","COX19"
"16","FAM221A"
"17","FOXK1"
"18","GLI3"
"19","HERPUD2"
"20","KIAA0087"
"21","KRT18P4"
"22","MICALL2"
"23","NACAD"
"24","NOD1"
"25","PSAT1"
"26","PSMG3-AS1"
"27","RNF216"
"28","RP9"
"29","RP9P"
"30","SEPT7P2"
"31","SLC29A4"
"32","SLCO5A1"
"33","ST6GAL1"
"34","SUN1"
"35","ZNF316"
"36","ZNF815P"
