"","c1_HuAgeGBsplitRnaseq_58....QNPbyTAP__"
"1","APH1A"
"2","ATP8B2"
"3","BLZF1"
"4","CYB5R1"
"5","ENSA"
"6","JTB"
"7","LMNA"
"8","MTMR11"
"9","NCSTN"
"10","NOTCH2"
"11","NR1I3"
"12","SF3B4"
"13","SHC1"
"14","SLC39A1"
"15","SNAPIN"
"16","TGOLN2"
"17","THBS3"
"18","TOMM40L"
"19","TOR1AIP1"
"20","ZBTB7B"
