"","c1_HuAgeGBsplitRnaseq_49....NPCbyNSC__"
"1","AMER1"
"2","BEX2"
"3","C1GALT1C1"
"4","CADM3"
"5","CERS4"
"6","CHM"
"7","FBXL12"
"8","KRI1"
"9","MCTS1"
"10","MORF4L2"
"11","MOSPD1"
"12","MTM1"
"13","NAP1L3"
"14","NSG1"
"15","OCRL"
"16","PCGF1"
"17","PIN4"
"18","PJA1"
"19","RAB39B"
"20","RAB9B"
"21","RNF113A"
"22","SLC25A14"
"23","SLC25A53"
"24","SLC27A1"
"25","SLC4A4"
"26","SLC9A6"
"27","SMARCA1"
"28","SPRY3"
"29","STK36"
"30","TAF9B"
"31","TAZ"
"32","TCEAL1"
"33","TCEAL6"
"34","TCEAL8"
"35","THOC2"
"36","THRA"
"37","TIMM8A"
"38","TMEM185A"
"39","TRIM45"
"40","TRO"
"41","UPF3B"
"42","YIPF1"
"43","ZNF101"
"44","ZNF121"
"45","ZNF2"
"46","ZNF558"
