"","c1_HuAgeGBsplitRnaseq_74....QGBObyPGBO__"
"1","AC006023.1"
"2","AC010271.2"
"3","AC012640.5"
"4","AC021072.1"
"5","AC104339.1"
"6","AC112715.1"
"7","ADH5P2"
"8","AK4P4"
"9","AL079352.1"
"10","AL109615.3"
"11","AL109618.1"
"12","AL135924.2"
"13","AL157713.1"
"14","AL161431.1"
"15","AL161932.2"
"16","AL359641.1"
"17","ANP32BP1"
"18","AP003717.2"
"19","ASRGL1"
"20","ATP5MC2P4"
"21","C4BPB"
"22","CEACAMP7"
"23","CLEC4F"
"24","HAUS1P2"
"25","HIST1H4G"
"26","HNRNPA1P27"
"27","HNRNPDP1"
"28","LINC00323"
"29","LINC00942"
"30","MIR30B"
"31","OR10A3"
"32","OR6V1"
"33","RF02272"
"34","RN7SL208P"
"35","RNU6-869P"
"36","RPL24P7"
"37","SLC26A4"
"38","SLC26A4-AS1"
"39","SMIM10"
"40","SMIM11P1"
"41","SOX5P1"
"42","STIP1P3"
"43","TMEM78"
"44","TPMTP1"
"45","TUBBP1"
"46","UBE2NP1"
