"","c1_HuAgeGBsplitRnaseq_158....PSVZbyQSVZ__"
"1","AATF"
"2","ACBD4"
"3","ACLY"
"4","AMOTL1"
"5","BECN1"
"6","BLMH"
"7","BRCA1"
"8","C1QL1"
"9","CDC27"
"10","CDK5R1"
"11","COPRS"
"12","CPD"
"13","DCAKD"
"14","DDX52"
"15","DNAJC7"
"16","EFTUD2"
"17","FLOT2"
"18","KLHL11"
"19","KPNB1"
"20","LIG3"
"21","LSM12"
"22","MLX"
"23","MRPL45"
"24","MSL1"
"25","NFE2L1"
"26","NMT1"
"27","PHF12"
"28","PIPOX"
"29","PODXL"
"30","POLDIP2"
"31","PSMC3IP"
"32","PSMD11"
"33","PSMD3"
"34","PSME3"
"35","SARM1"
"36","SLC25A39"
"37","STARD3"
"38","SUPT6H"
"39","SYNRG"
"40","TAF15"
"41","TAOK1"
"42","TEFM"
"43","TMEM101"
"44","TUBG1"
"45","UBE2Z"
"46","UTP6"
"47","ZNF207"
"48","ZNHIT3"
