"","c1_HuAgeGBsplitRnaseq_305....PSVZbyQSVZ__"
"1","ABCE1"
"2","ADH5"
"3","AFF1"
"4","AIMP1"
"5","BBS12"
"6","C4orf3"
"7","C4orf46"
"8","CASP3"
"9","CCNG2"
"10","CCNI"
"11","CENPC"
"12","CENPU"
"13","CEP44"
"14","CNOT6L"
"15","DCK"
"16","DCLK2"
"17","EIF4E"
"18","ELF2"
"19","EXOSC9"
"20","EYA1"
"21","FRG1"
"22","GALNT7"
"23","GAR1"
"24","H2AFZ"
"25","HADH"
"26","HELQ"
"27","HNRNPD"
"28","HNRNPDL"
"29","HNRNPH3"
"30","HYPK"
"31","ING2"
"32","IRF2"
"33","JADE1"
"34","LARP7"
"35","LIN54"
"36","LSM6"
"37","METAP1"
"38","METTL14"
"39","MOB1B"
"40","MRPL1"
"41","MRPS18C"
"42","NEK1"
"43","NUP54"
"44","NXPH1"
"45","OSTC"
"46","PGRMC2"
"47","PPM1B"
"48","RBM45"
"49","RCHY1"
"50","RNF150"
"51","RUFY3"
"52","SAP30"
"53","SDAD1"
"54","SEC24B"
"55","SH3RF1"
"56","SMAD1"
"57","SMARCA5"
"58","TBCK"
"59","TMA16"
"60","TRIM2"
"61","TRMT10A"
"62","USP38"
"63","UTP3"
"64","YTHDC1"
"65","ZNF827"
