"","c1_HuAgeGBsplitRnaseq_61....NPCbyNSC__"
"1","APBA2"
"2","ARHGEF2"
"3","ATG9A"
"4","B3GNT9"
"5","BAHD1"
"6","BBS4"
"7","CASC4"
"8","CATSPER2"
"9","CCDC32"
"10","CCDC80"
"11","CIB1"
"12","CIB2"
"13","CISD1"
"14","CORO2B"
"15","CRYAB"
"16","CSF1"
"17","CSNK1G1"
"18","DNAJB9"
"19","DNAJC17"
"20","EIF2AK4"
"21","EMC7"
"22","FAM214A"
"23","FZD4"
"24","GNB5"
"25","HACD3"
"26","HDGFL3"
"27","HMG20A"
"28","IGDCC3"
"29","IMP3"
"30","KIF7"
"31","KLHL25"
"32","LARP6"
"33","LPCAT4"
"34","LRRC28"
"35","LRRC49"
"36","LRRC57"
"37","LYSMD2"
"38","MAOB"
"39","MAP1A"
"40","MAPKBP1"
"41","MORF4L1"
"42","NDUFAF1"
"43","NEO1"
"44","NMB"
"45","PARP6"
"46","PEX11A"
"47","PIGB"
"48","PPIB"
"49","PYGO1"
"50","RCCD1"
"51","RCN2"
"52","RFX7"
"53","RMDN3"
"54","SCAPER"
"55","SECISBP2L"
"56","SELENOS"
"57","SLC29A2"
"58","SMIM8"
"59","SNAPC5"
"60","SNX22"
"61","SNX33"
"62","SRP14"
"63","STOML1"
"64","TM2D3"
"65","TMOD2"
"66","TP53BP1"
"67","TSPAN3"
"68","TYRO3"
"69","UNC45A"
"70","USP3"
"71","WDR61"
"72","WHAMM"
"73","ZFAND6"
