"","c1_HuAgeGBsplitRnaseq_47....QNPbyTAP__"
"1","AMOTL2"
"2","ANXA5"
"3","C2CD2L"
"4","CCDC90B"
"5","CLNS1A"
"6","CREBZF"
"7","DPAGT1"
"8","EED"
"9","HIKESHI"
"10","JAM3"
"11","JPT2"
"12","LRP5"
"13","PICALM"
"14","RAB3IL1"
"15","RSF1"
"16","SIDT2"
"17","SMO"
"18","SRPRA"
"19","TMEM126A"
"20","TMEM126B"
"21","TSKU"
