"","c1_HuAgeGBsplitRnaseq_306....NSCbyNPC__"
"1","ABI2"
"2","AGPS"
"3","AKAP10"
"4","ANKFY1"
"5","ATM"
"6","BMP2K"
"7","CEP295"
"8","CEP350"
"9","ELAC2"
"10","EMP3"
"11","EPB41L5"
"12","EVC"
"13","FHL3"
"14","FLII"
"15","HEATR5B"
"16","IVNS1ABP"
"17","LLGL1"
"18","LRP6"
"19","MAML2"
"20","MAN2A1"
"21","MBNL1"
"22","MCFD2"
"23","MYO5A"
"24","NUP155"
"25","PARS2"
"26","RAB11FIP5"
"27","RAB39A"
"28","RANBP2"
"29","RAPH1"
"30","REL"
"31","RIF1"
"32","SMCHD1"
"33","SRBD1"
"34","THADA"
"35","TICRR"
"36","TOP3A"
"37","TTC27"
"38","UBC"
"39","XPO1"
"40","ZNF462"
