"","c1_HuAgeGBsplitRnaseq_388....PGBObyQGBO__"
"1","AC010203.2"
"2","AC073611.1"
"3","AC108667.1"
"4","ACHE"
"5","AL391646.1"
"6","AP000866.2"
"7","ATP5PBP5"
"8","FAM105A"
"9","HIST1H4D"
"10","KCNC4-AS1"
"11","MEIS1-AS3"
"12","MRC2"
"13","MYO15B"
"14","PPIAP54"
"15","SH3RF3-AS1"
"16","SLC12A5-AS1"
"17","TXNP4"
