"","c1_HuAgeGBsplitRnaseq_22....QNPbyTAP__"
"1","AATF"
"2","ABCA5"
"3","ACACA"
"4","ACBD4"
"5","ACCS"
"6","ACLY"
"7","ACOX1"
"8","ACSF2"
"9","ADCY6"
"10","AKAP1"
"11","AMZ2"
"12","ANKRD52"
"13","AP2B1"
"14","APPBP2"
"15","ARF1"
"16","ARHGAP23"
"17","ARHGDIA"
"18","ARMC7"
"19","ASPSCR1"
"20","ATL3"
"21","ATP6V0A1"
"22","ATXN7L3"
"23","B4GALNT1"
"24","BAIAP2"
"25","BECN1"
"26","BLMH"
"27","BRCA1"
"28","BRIP1"
"29","C17orf80"
"30","C1orf198"
"31","C1orf35"
"32","C1orf74"
"33","C1QL1"
"34","CACNB1"
"35","CANT1"
"36","CASC3"
"37","CASKIN2"
"38","CCDC47"
"39","CDC27"
"40","CDK12"
"41","CDK5R1"
"42","CEP131"
"43","CEP95"
"44","CHAC1"
"45","CHMP6"
"46","CLTC"
"47","COASY"
"48","COIL"
"49","COPZ2"
"50","COQ10A"
"51","COQ10B"
"52","CPD"
"53","CSNK1D"
"54","CUEDC1"
"55","CWC25"
"56","DCAF7"
"57","DCAKD"
"58","DDOST"
"59","DDX42"
"60","DDX5"
"61","DDX52"
"62","DGKE"
"63","DHRS11"
"64","DHRS13"
"65","DHX40"
"66","DNAJC7"
"67","DUSP14"
"68","DUSP4"
"69","DYNLL2"
"70","EEF2K"
"71","EFTUD2"
"72","ENDOV"
"73","EPN2"
"74","ERAL1"
"75","EZH1"
"76","FAAP100"
"77","FAM104A"
"78","FAM222B"
"79","FBF1"
"80","FBXL20"
"81","FGFR1"
"82","FKBP10"
"83","FLOT2"
"84","FN3KRP"
"85","FOXK2"
"86","FTSJ3"
"87","G6PC3"
"88","GALK1"
"89","GALNT2"
"90","GDPD1"
"91","GFAP"
"92","GGA3"
"93","GGN"
"94","GGNBP2"
"95","GHDC"
"96","GNA13"
"97","GOSR1"
"98","GPATCH8"
"99","GUK1"
"100","H3F3A"
"101","H3F3B"
"102","HAP1"
"103","HEATR6"
"104","HELZ"
"105","HEXIM1"
"106","HEXIM2"
"107","HGS"
"108","HS6ST1"
"109","IBA57"
"110","IFT20"
"111","IL33"
"112","INTS2"
"113","KANSL1"
"114","KAT2A"
"115","KAZALD1"
"116","KCTD2"
"117","KIAA0100"
"118","KIF5A"
"119","KLHL11"
"120","KPNA2"
"121","KPNB1"
"122","KRT10"
"123","LIG3"
"124","LRRC59"
"125","LSM12"
"126","MAFG"
"127","MAP3K14"
"128","MBD6"
"129","MBTD1"
"130","MCRIP1"
"131","MED1"
"132","MED13"
"133","MED24"
"134","METTL23"
"135","METTL2A"
"136","MFSD11"
"137","MFSD5"
"138","MIF4GD"
"139","MKS1"
"140","MLLT6"
"141","MLX"
"142","MMD"
"143","MRM1"
"144","MRPL10"
"145","MRPL27"
"146","MRPL45"
