"","c1_HuAgeGBsplitRnaseq_1590....PGBCbyQGBC__"
"1","AC007622.1"
"2","AC087623.3"
"3","ACTR1A"
"4","AL135925.1"
"5","AL138762.1"
"6","AL353719.1"
"7","AL365181.2"
"8","ALDH18A1"
"9","ARL3"
"10","ATP5MD"
"11","AVPI1"
"12","B3GALT4"
"13","BCAN"
"14","C10orf76"
"15","CHUK"
"16","CSGALNACT2"
"17","CUEDC2"
"18","CUTC"
"19","DPCD"
"20","ERLIN1"
"21","EXOC6"
"22","FAM35A"
"23","FRAT1"
"24","FRAT2"
"25","GHITM"
"26","GLUD1"
"27","GOT1"
"28","GSTO1"
"29","HELLS"
"30","HPS6"
"31","IDE"
"32","KCNMB3"
"33","KIRREL1"
"34","LCOR"
"35","LINC00863"
"36","MARVELD1"
"37","MINPP1"
"38","MRPL43"
"39","NCOA4"
"40","NOC3L"
"41","NOLC1"
"42","NUDT9P1"
"43","NUTM2A-AS1"
"44","PARG"
"45","PCGF6"
"46","PGAM1"
"47","PI4K2A"
"48","PLCE1"
"49","PXDN"
"50","RCC1"
"51","RCC2"
"52","RPL23AP20"
"53","RPP30"
"54","S100A10"
"55","SLC1A3"
"56","SLC25A28"
"57","SLC35G1"
"58","SPSB4"
"59","TCTN3"
"60","TIMM23"
"61","TM9SF3"
"62","TRIM8"
"63","WAPL"
"64","WASHC2A"
"65","WASHC2C"
"66","WBP1L"
"67","ZDHHC16"
"68","ZFAND4"
