"","c1_HuAgeGBsplitRnaseq_12....PSVZbyQSVZ__"
"1","ADAM12"
"2","ATP10A"
"3","COL1A1"
"4","COL3A1"
"5","FBLN1"
"6","FBLN2"
"7","FKBP5"
"8","FLNA"
"9","FMNL3"
"10","FN1"
"11","FRS2"
"12","FUT1"
"13","GLCE"
"14","GPR137B"
"15","GPX1"
"16","GRPEL2"
"17","HMGA1"
"18","HSPB6"
"19","MDM2"
"20","MYO1B"
"21","NBL1"
"22","NET1"
"23","NFKBIA"
"24","NUP107"
"25","PLP2"
"26","RAB3IP"
"27","RAP1B"
"28","RUNDC3B"
"29","SLC16A14"
"30","SLC35E3"
"31","SLC7A1"
"32","SLC7A5"
"33","ST3GAL1"
"34","STOX1"
"35","STRA6"
"36","TBC1D4"
"37","TGFB1I1"
"38","UACA"
"39","USP53"
