"","c1_HuAgeGBsplitRnaseq_215....QGBCbyPGBC__"
"1","AC016588.2"
"2","AC254562.2"
"3","AL008582.1"
"4","AL021707.2"
"5","AL021918.1"
"6","AL022328.4"
"7","AL078621.3"
"8","AL118516.1"
"9","ARHGAP27P2"
"10","BAIAP2L2"
"11","BSN"
"12","BX324167.1"
"13","C1QTNF6"
"14","CBX7"
"15","CHKB"
"16","CSNK1E"
"17","CYP2D7"
"18","CYP2D8P"
"19","DBP"
"20","DDX11L2"
"21","DDX17"
"22","DENND6B"
"23","ELAVL3"
"24","GGA1"
"25","GRIN2C"
"26","HDAC5"
"27","IFT27"
"28","LINC00634"
"29","LINC01315"
"30","MAPK11"
"31","MAPK12"
"32","MAPK8IP2"
"33","MTURN"
"34","NDUFA6-AS1"
"35","NOXA1"
"36","NR1D1"
"37","NUP50-AS1"
"38","PACSIN2"
"39","PAQR6"
"40","PHF21B"
"41","PIM3"
"42","PLA2G6"
"43","PLXNB2"
"44","PPARA"
"45","PSD"
"46","RPL23AP53"
"47","RPL23AP7"
"48","RPL23AP82"
"49","RRP7BP"
"50","RUNDC3A"
"51","SAMD4A"
"52","SBF1"
"53","SERHL"
"54","SERHL2"
"55","SEZ6L2"
"56","SLC16A8"
"57","SLC2A1-AS1"
"58","SYNGR1"
"59","TUBGCP6"
"60","WASH2P"
"61","WASH3P"
"62","WBP2NL"
