"","c1_HuAgeGBsplitRnaseq_287....QGBObyPGBO__"
"1","AC006378.2"
"2","AC007386.1"
"3","AC091825.1"
"4","AC104117.3"
"5","AC104117.5"
"6","AC106795.1"
"7","AKAP7"
"8","ANXA6"
"9","ATOX1"
"10","BNIP1"
"11","BOD1"
"12","CNOT6"
"13","CNOT8"
"14","DBN1"
"15","DDX41"
"16","ERGIC1"
"17","F12"
"18","GNPDA1"
"19","GPRIN1"
"20","KIAA1191"
"21","MAT2B"
"22","MIR331"
"23","NEURL1B"
"24","NHP2"
"25","OCIAD2"
"26","PRR36"
"27","PRR7"
"28","RNF130"
"29","RNF181"
"30","RNF44"
"31","RPL26L1"
"32","TNIP1"
"33","TSPAN17"
"34","UIMC1"
"35","ZNF346"
"36","ZNF454"
"37","ZNF879"
