"","c1_HuAgeGBsplitRnaseq_25....NPCbyNSC__"
"1","ABCA8"
"2","ABCC8"
"3","ACBD7"
"4","AGL"
"5","AGPAT5"
"6","AIFM3"
"7","AMOT"
"8","CCDC160"
"9","CD200"
"10","CEND1"
"11","CHMP7"
"12","CLU"
"13","CNMD"
"14","CNOT7"
"15","DCTN6"
"16","DDHD2"
"17","DLGAP1"
"18","EPHX2"
"19","ERICH1"
"20","EVA1A"
"21","FAM160B2"
"22","FBXO25"
"23","FGFR3"
"24","FMNL2"
"25","FNTA"
"26","FSD1"
"27","GAL3ST1"
"28","GFRA2"
"29","GJB2"
"30","GJB6"
"31","GJC3"
"32","GOLGA7"
"33","GRAMD1C"
"34","HSPA2"
"35","IL34"
"36","INSC"
"37","ISCU"
"38","KCNB1"
"39","KCNE2"
"40","KCNJ11"
"41","LEF1"
"42","LGI4"
"43","LONRF1"
"44","LRRC1"
"45","MAGEE1"
"46","MAP1B"
"47","MAPRE3"
"48","MAPT"
"49","MICU3"
"50","MRAS"
"51","NWD1"
"52","NXN"
"53","PALM"
"54","PDPN"
"55","PEX2"
"56","PKP3"
"57","PNMA3"
"58","PPARGC1A"
"59","PPP2R2A"
"60","PPP2R3C"
"61","PSD2"
"62","PURG"
"63","PYGM"
"64","RAB2A"
"65","RAB7B"
"66","RANBP3L"
"67","RHEBL1"
"68","RNF122"
"69","RNF165"
"70","SARAF"
"71","SCARA3"
"72","SERPINE2"
"73","SFXN5"
"74","SLC13A5"
"75","SLC20A2"
"76","SLC22A4"
"77","SLC22A6"
"78","SLC39A12"
"79","SLC49A3"
"80","SLC7A10"
"81","SMIM19"
"82","SORBS2"
"83","ST6GALNAC2"
"84","SYPL2"
"85","TDRP"
"86","TEX2"
"87","TM2D2"
"88","TMEM159"
"89","TMEM47"
"90","TMEM70"
"91","TNC"
"92","TRAM1L1"
"93","TRIM35"
"94","TSPYL2"
"95","TTI2"
"96","TUSC3"
"97","UBE2V2"
"98","UBXN8"
"99","VANGL1"
"100","VPS37A"
"101","WFDC1"
"102","YAP1"
"103","YBX2"
"104","ZBTB10"
"105","ZNF536"
"106","ZNF711"
