"","c1_HuAgeGBsplitRnaseq_40....PSVZbyQSVZ__"
"1","ADCK5"
"2","AGO2"
"3","ARHGAP39"
"4","ASAP1"
"5","BOP1"
"6","C8orf33"
"7","C8orf76"
"8","CHRAC1"
"9","EBAG9"
"10","EEF1D"
"11","EFR3A"
"12","LRRC14"
"13","MED30"
"14","MRPL13"
"15","MTBP"
"16","MTSS1"
"17","NSMCE2"
"18","PUF60"
"19","PYCR3"
"20","RAD21"
"21","RECQL4"
"22","RPL8"
"23","SCRIB"
"24","TAF2"
"25","TATDN1"
"26","TBC1D31"
"27","TMEM65"
"28","TONSL"
"29","TOP1MT"
"30","UTP23"
"31","ZC3H3"
"32","ZHX2"
"33","ZNF250"
"34","ZNF34"
"35","ZNF623"
