"","c1_HuAgeGBsplitRnaseq_408....PGBObyQGBO__"
"1","AC110609.1"
"2","AHRR"
"3","AL021392.1"
"4","AL121906.1"
"5","AP005233.2"
"6","COL8A2"
"7","DLK1"
"8","EOGT"
"9","HID1"
"10","IRX4"
"11","JAG2"
"12","NCCRP1"
"13","NOTUM"
"14","PPIAP34"
"15","RNU6-2"
"16","TBC1D24"
"17","TPSG1"
"18","UQCRHP1"
"19","ZBTB42"
