"","c1_HuAgeGBsplitRnaseq_54....QSVZbyPSVZ__"
"1","A2M"
"2","ABHD4"
"3","ADAR"
"4","ADCY7"
"5","ADCY8"
"6","AMIGO2"
"7","ARHGAP5"
"8","B2M"
"9","BAALC"
"10","BACH1"
"11","C14orf93"
"12","CD302"
"13","CD53"
"14","CMPK2"
"15","CNP"
"16","DAD1"
"17","DAPP1"
"18","DCAF11"
"19","DDR1"
"20","DUSP23"
"21","EAPP"
"22","EIF2AK2"
"23","EMC9"
"24","ERAP1"
"25","FBXO33"
"26","GBP3"
"27","HEATR5A"
"28","HERC6"
"29","IFI35"
"30","KLHL28"
"31","LAP3"
"32","LCAT"
"33","LGALS3BP"
"34","LHFPL2"
"35","LOXL3"
"36","LRP10"
"37","LY6E"
"38","MAP4K5"
"39","MERTK"
"40","METTL3"
"41","MGAT4A"
"42","NDRG2"
"43","NFATC2"
"44","NOVA1"
"45","NUBPL"
"46","OXA1L"
"47","PABPN1"
"48","PCED1B"
"49","PPM1K"
"50","PRSS36"
"51","RAB2B"
"52","RABGGTA"
"53","RALGAPA1"
"54","SALL2"
"55","SEC23A"
"56","SLC12A4"
"57","SLC22A17"
"58","SOS2"
"59","SRP54"
"60","STON2"
"61","STRN3"
"62","SUSD4"
"63","TEP1"
"64","TLR3"
"65","TMEM150B"
"66","TRIL"
"67","TRIM25"
"68","TTC5"
"69","VAMP5"
"70","VCAM1"
"71","ZNFX1"
