"","c1_HuAgeGBsplitRnaseq_528....QSVZbyPSVZ__"
"1","ABLIM2"
"2","AHCYL1"
"3","ALDH1L1"
"4","BCL6"
"5","CADM2"
"6","CAPN9"
"7","CDIP1"
"8","CLIC6"
"9","COX6B2"
"10","DARS"
"11","DZIP1L"
"12","GALT"
"13","GCNT2"
"14","HDHD3"
"15","HS3ST3A1"
"16","ICA1"
"17","ID1"
"18","ID2"
"19","ID3"
"20","KCTD12"
"21","KIAA0319L"
"22","KIAA1324"
"23","NLGN1"
"24","PACRG"
"25","RAB11FIP4"
"26","RAB33B"
"27","SHISA9"
"28","SLC1A1"
"29","SLITRK3"
"30","SRY"
"31","TSPYL5"
"32","UBXN4"
"33","XBP1"
"34","ZBTB21"
"35","ZFYVE9"
