"","c1_HuAgeGBsplitRnaseq_90....PGBCbyQGBC__"
"1","AC016397.2"
"2","AC114341.1"
"3","AC138150.2"
"4","ADGRG6"
"5","AL590762.2"
"6","ARHGAP22"
"7","ARPC3P2"
"8","BCAR3"
"9","CBX1"
"10","CCDC87"
"11","FAM201B"
"12","FCRLA"
"13","FIGN"
"14","FNDC4"
"15","FRG1CP"
"16","HCG11"
"17","HIF1A-AS1"
"18","HMGN2P41"
"19","IFT172"
"20","LCE1F"
"21","MAP2K6"
"22","MLLT10P1"
"23","MZT2A"
"24","MZT2B"
"25","PDLIM1"
"26","POT1-AS1"
"27","PRDX1P1"
"28","PTGIR"
"29","RAMP1"
"30","RN7SL255P"
"31","RNU1-88P"
"32","SCGB3A2"
"33","TMEM154"
"34","TPT1P13"
