"","c1_HuAgeGBsplitRnaseq_25....NSCbyNPC__"
"1","ACKR3"
"2","ACP6"
"3","ADAM9"
"4","ADAMTSL5"
"5","AP5B1"
"6","BIN3"
"7","C8orf58"
"8","CCAR2"
"9","CCND3"
"10","CHD7"
"11","CLMP"
"12","ELOVL2"
"13","ERI1"
"14","ERN1"
"15","ESRRA"
"16","FUT10"
"17","GNRH1"
"18","GPAT4"
"19","GSR"
"20","HGSNAT"
"21","HOOK3"
"22","INTS9"
"23","KCNE5"
"24","KCTD9"
"25","KLHDC7A"
"26","KPNA4"
"27","MAP10"
"28","NSMAF"
"29","PKIG"
"30","PLCH1"
"31","PLEKHA2"
"32","PLK5"
"33","POMK"
"34","POSTN"
"35","PPP1R3B"
"36","RFFL"
"37","RILP"
"38","RNF149"
"39","SGK3"
"40","SLC17A9"
"41","SLC25A37"
"42","SLC2A4"
"43","SPIDR"
"44","TACC3"
"45","TCEA1"
"46","TEAD2"
"47","TEC"
"48","TERF1"
"49","TRAM1"
"50","WRN"
"51","ZDHHC2"
