"","c1_HuAgeGBsplitRnaseq_50....PSVZbyQSVZ__"
"1","ACSF3"
"2","ANKRD11"
"3","ANTXR2"
"4","AP1G1"
"5","C16orf87"
"6","CDK10"
"7","CENPT"
"8","CFDP1"
"9","CHMP1A"
"10","CMC2"
"11","CMTR2"
"12","CNOT1"
"13","COG4"
"14","COG8"
"15","CSNK2A2"
"16","CTCF"
"17","DBNDD1"
"18","DDX19A"
"19","DYNC1LI2"
"20","E2F4"
"21","EMC8"
"22","FAM192A"
"23","FANCA"
"24","GAS8"
"25","GOT2"
"26","HSBP1"
"27","IST1"
"28","IWS1"
"29","KARS"
"30","LONRF2"
"31","MPHOSPH6"
"32","NETO2"
"33","NFATC3"
"34","NKD1"
"35","NOB1"
"36","NUDT21"
"37","NUP93"
"38","OGFOD1"
"39","PARD6A"
"40","PHLPP2"
"41","PSMD7"
"42","RFWD3"
"43","SETD6"
"44","SF3B3"
"45","SIAH1"
"46","SLC7A6"
"47","SPATA33"
"48","SPIRE2"
"49","TAF1C"
"50","TANGO6"
"51","TCF25"
"52","TRAPPC2L"
"53","USP10"
"54","VAC14"
"55","VPS9D1"
"56","ZC3H18"
"57","ZCCHC14"
"58","ZFP90"
"59","ZNF319"
